Item,Tools No.,Description,Make/Model,Serial No.,Qty,Stored Location,Last Cal. Date/ Received Date,Next Cal. Date,Cal. Cert No.,
1,GOV-1,"Secondary Current Injection Tester (Megger ""Sverker 750"")","Megger ""Sverker 750""",1811551,1,1/F ADB Store Office,4-Jun-24,4-Jun-25,C243119,
2,GOV-2,High Voltage Insulation Tester (Megger S1-1068),Megger S1-1068,100301201833687,1,1/F ADB Store Office,17-Jun-24,17-Jun-25,C243323,
3,GOV-3,Digital Low Resistance Ohmmeter - DMO CA 6240 10A DC (Ductor Test) ,CHAUVIN ARNOUX CA6240,115210SBH,1,1/F ADB Store Office,14-Apr-24,14-Apr-25,C242137,
4,GOV-4,Earth Ground Tools for HV,河北賽諾電力器材 / JDX-NL-11kV,NA,1,1/F ADB Store Office,6-Aug-19,NA,NA,
5,GOV-5,Earth Ground Tools for HV,河北賽諾電力器材 / JDX-NL-11kV,NA,1,1/F ADB Store Office,6-Aug-19,NA,NA,
6,GOV-6,Signal Generator,R&S SMC100A,106933,1,1/F ADB Store Office,24-Apr-24,24-Apr-25,C242298,
7,GOV-7,Thruline Single Element Wattmeter,Bird 4304A,181701082,1,1/F ADB Store Office,26-Apr-24,26-Apr-25,C242315,
8,GOV-8,22K AC Pressure Tester,T&R Test Equipment / KV30-40D mk2,6TE1682,1,1/F ADB Store Office,25-Apr-24,25-Apr-25,C242311,
9,GOV-9,HV Phasing Stick With Test Certificate,ABB D74/1   12kV,MI9027,1,1/F ADB Store Office,18-Aug-20,NA,NA,
10,GOV-10,Luminance Meter,Konica Minolta LS-160,20001787,1,1/F ADB Store Office,20-Apr-24,20-Apr-25,C242232,
11,GOV-11,"Laptop for Tunnel Lighting System installed DALI Program 
(w/ DALI programming installation Disk)",Dell P115G,,1,1/F ADB Store Office,21-Jan-21,NA,NA,
12,GOV-12,Gamma instabus USB interface for DALI module,SIEMENS 5WG1 158-1AB12,,1,1/F ADB Store Office,21-Jan-21,NA,NA,
13,GOV-13,"Laptop for CMCS System installed STEP 7 Program 
(w/ Dongle 1041100093920455299 and STEP 7 installation Disk)",Dell P115G,,1,1/F ADB Store Office,21-Jan-21,NA,NA,
14,GOV-14,Earth Tester,"""KYORITSU"" Model: 4102A; ",E8288128,1,1/F ADB Store Office,14-Apr-24,14-Apr-25,C242143,
15,GOV-15,Digital Earth (Earth Fault) Loop Tester,"""KYORITSU"" Model: KEW4105A; S/N ",E8292884,1,1/F ADB Store Office,14-Apr-24,14-Apr-25,C242142,
16,GOV-16,Vibration Tester,Castle Model : GA2002 ,071997,1,1/F ADB Store Office,22-Apr-24,22-Apr-25,MLCN240992S,
17,GOV-17,"Testing Tools For Smoke Detector,Heat Detector (14)",Siemens. FDUD293 ,,1,1/F ADB Store Office,10-Jun-21,NA,NA,
18,GOV-18,Ladder Platform (Standing Height 2.8M),Ladder Platform (Standing Height 2.8M),,1,CP11,16-Dec-21,NA,NA,
19,GOV-19,Stainless Steel Stol,Stainless Steel Stol (Special tool for positioning ladder plantform above stair in CP areas),,2,CP11 E&M Plantform,16-Dec-21,NA,NA,
20,GOV-20,Ladder Platform (Standing Height 1.96M),Ladder Platform (Standing Height 1.96M),,1,TD-GFA-02,16-Dec-21,NA,NA,
21,GOV-21,Ladder Platform (Standing Height 1.96M),Ladder Platform (Standing Height 1.96M),,1,TD-GFA-02,16-Dec-21,NA,NA,
22,GOV-22,Ladder Platform (Standing Height 1.96M),Ladder Platform (Standing Height 1.96M),,1,TD-GFA-02,16-Dec-21,NA,NA,
23,GOV-23,Ladder Platform (Standing Height 1.96M),Ladder Platform (Standing Height 1.96M),,1,TD-GFA-02,16-Dec-21,NA,NA,
24,GOV-24,Fibrolaser - Test Device II,Seimens Testing Kit - Linear Heat Detection System,,1,AB-1FA-1A,7-Jun-22,NA,NA,
